Threshold,Morph_Kernel,Close_Iter,Open_Iter,Avg_Loss,Success_Rate,Successful,Good_Detections,Good_Rate
35,3,2,2,57.167526,0.9525,381,331,0.8275
35,3,2,3,57.490356,0.955,382,331,0.8275
35,3,2,4,60.768204,0.895,358,307,0.7675
35,3,3,1,55.807316,0.945,378,331,0.8275
35,3,3,2,56.254345,0.9475,379,331,0.8275
35,3,3,3,56.17597,0.9475,379,331,0.8275
35,3,3,4,59.941097,0.89,356,307,0.7675
35,3,4,1,54.871952,0.94,376,331,0.8275
35,3,4,2,54.823803,0.94,376,331,0.8275
35,3,4,3,54.742878,0.94,376,331,0.8275
35,3,4,4,57.888992,0.88,352,307,0.7675
35,5,1,1,57.872868,0.955,382,331,0.8275
35,5,1,2,62.071205,0.875,350,300,0.75
35,5,1,3,79.25757,0.66,264,213,0.5325
35,5,1,4,129.75703,0.3775,151,100,0.25
35,5,2,1,57.515255,0.9525,381,331,0.8275
35,5,2,2,62.178608,0.8775,351,300,0.75
35,5,2,3,78.63164,0.6675,267,214,0.535
35,5,2,4,125.01291,0.395,158,105,0.2625
35,5,3,1,57.033657,0.9475,379,330,0.825
35,5,3,2,60.702675,0.87,348,300,0.75
35,5,3,3,77.56498,0.6625,265,215,0.5375
35,5,3,4,118.24565,0.42,168,109,0.2725
35,5,4,1,55.63857,0.94,376,328,0.82
35,5,4,2,60.82719,0.8675,347,298,0.745
35,5,4,3,76.870346,0.66,264,214,0.535
35,5,4,4,113.69488,0.425,170,113,0.2825
35,7,1,1,59.561382,0.9275,371,321,0.8025
35,7,1,2,86.05303,0.605,242,190,0.475
35,7,1,3,189.10307,0.255,102,50,0.125
35,7,1,4,332.37564,0.1375,55,5,0.0125
35,7,2,1,59.670517,0.93,372,321,0.8025
35,7,2,2,84.82703,0.6175,247,193,0.4825
35,7,2,3,174.55104,0.2825,113,52,0.13
35,7,2,4,301.05997,0.16,64,6,0.015
35,7,3,1,59.528515,0.9325,373,322,0.805
35,7,3,2,84.4122,0.6225,249,194,0.485
35,7,3,3,169.12027,0.305,122,55,0.1375
35,7,3,4,274.9413,0.1875,75,7,0.0175
35,7,4,1,59.57141,0.93,372,321,0.8025
35,7,4,2,83.7792,0.6275,251,195,0.4875
35,7,4,3,157.92603,0.3375,135,59,0.1475
35,7,4,4,264.10785,0.21,84,7,0.0175
35,9,1,1,66.5137,0.8225,329,278,0.695
35,9,1,2,156.46254,0.3175,127,71,0.1775
35,9,1,3,350.44452,0.13,52,2,0.005
35,9,1,4,363.9946,0.125,50,0,0
35,9,2,1,66.399216,0.825,330,279,0.6975
35,9,2,2,147.88094,0.345,138,75,0.1875
35,9,2,3,300.59555,0.1625,65,4,0.01
35,9,2,4,336.3306,0.145,58,0,0
35,9,3,1,66.78215,0.8275,331,279,0.6975
35,9,3,2,139.56358,0.37,148,80,0.2
35,9,3,3,274.71158,0.1975,79,5,0.0125
35,9,3,4,318.07678,0.1675,67,0,0
35,9,4,1,67.06213,0.8275,331,278,0.695
35,9,4,2,138.80574,0.3875,155,79,0.1975
35,9,4,3,257.7022,0.2275,91,6,0.015
35,9,4,4,293.606,0.2,80,0,0
40,3,1,1,54.681824,0.94,376,331,0.8275
40,3,1,2,56.02284,0.9475,379,331,0.8275
40,3,1,3,56.846497,0.9525,381,331,0.8275
40,3,1,4,59.65094,0.9,360,310,0.775
40,3,2,1,50.36336,0.925,370,330,0.825
40,3,2,2,51.14313,0.9275,371,331,0.8275
40,3,2,3,53.435814,0.935,374,331,0.8275
40,3,2,4,56.094448,0.8825,353,310,0.775
40,3,3,1,42.310337,0.9,360,327,0.8175
40,3,3,2,41.58801,0.9,360,331,0.8275
40,3,3,3,43.573257,0.905,362,331,0.8275
40,3,3,4,46.6848,0.855,342,310,0.775
40,3,4,1,33.50872,0.875,350,325,0.8125
40,3,4,2,34.940063,0.88,352,326,0.815
40,3,4,3,35.301117,0.8825,353,327,0.8175
40,3,4,4,36.84331,0.83,332,308,0.77
40,5,1,1,53.96862,0.935,374,331,0.8275
40,5,1,2,57.86457,0.87,348,304,0.76
40,5,1,3,72.96199,0.675,270,223,0.5575
40,5,1,4,119.31593,0.385,154,108,0.27
40,5,2,1,53.88044,0.9325,373,327,0.8175
40,5,2,2,56.48421,0.8675,347,304,0.76
40,5,2,3,71.44198,0.67,268,223,0.5575
40,5,2,4,108.95477,0.4175,167,120,0.3
40,5,3,1,46.597515,0.91,364,326,0.815
40,5,3,2,49.240433,0.845,338,301,0.7525
40,5,3,3,65.33828,0.655,262,222,0.555
40,5,3,4,100.45025,0.4225,169,122,0.305
40,5,4,1,42.182735,0.895,358,322,0.805
40,5,4,2,44.68436,0.8325,333,299,0.7475
40,5,4,3,57.853287,0.6525,261,223,0.5575
40,5,4,4,93.63448,0.435,174,126,0.315
40,7,1,1,55.995308,0.9275,371,326,0.815
40,7,1,2,78.68512,0.6225,249,202,0.505
40,7,1,3,176.9215,0.2525,101,54,0.135
40,7,1,4,318.40338,0.1425,57,5,0.0125
40,7,2,1,55.73313,0.9225,369,322,0.805
40,7,2,2,77.72329,0.6175,247,203,0.5075
40,7,2,3,159.32799,0.2875,115,58,0.145
40,7,2,4,280.3875,0.17,68,6,0.015
40,7,3,1,55.672615,0.925,370,322,0.805
40,7,3,2,76.99507,0.6325,253,202,0.505
40,7,3,3,151.60704,0.32,128,60,0.15
40,7,3,4,260.561,0.1975,79,8,0.02
40,7,4,1,55.956146,0.9225,369,317,0.7925
40,7,4,2,75.48361,0.6525,261,202,0.505
40,7,4,3,141.78877,0.3475,139,66,0.165
40,7,4,4,237.02385,0.245,98,9,0.0225
40,9,1,1,62.1985,0.825,330,284,0.71
40,9,1,2,137.47206,0.335,134,83,0.2075
40,9,1,3,312.66473,0.1475,59,5,0.0125
40,9,1,4,354.41333,0.135,54,0,0
40,9,2,1,61.917393,0.8225,329,280,0.7
40,9,2,2,128.8039,0.3625,145,87,0.2175
40,9,2,3,273.59137,0.1825,73,7,0.0175
40,9,2,4,317.9552,0.1625,65,0,0
40,9,3,1,62.212772,0.8225,329,279,0.6975
40,9,3,2,121.702065,0.4,160,88,0.22
40,9,3,3,255.22011,0.2225,89,8,0.02
40,9,3,4,296.48434,0.195,78,1,0.0025
